GPU_VRAM_GB,RAM_GB,RESOLUTION_PX,HOURS_PLAYED_WEEK,PING_MS,AVG_FPS
4,32,2073600,33.8,39,29
12,8,8294400,3.9,57,20
8,16,2073600,6.5,56,55
12,32,3686400,20.8,47,20
24,32,3686400,3.9,34,159
10,8,3686400,4.7,37,20
10,32,2073600,7.6,47,78
4,16,2073600,1.6,34,20
8,32,2073600,1.2,72,50
8,16,2073600,9.0,63,35
12,16,2073600,4.7,67,91
12,32,3686400,1.7,86,44
8,32,2073600,3.7,77,62
4,32,8294400,10.5,73,20
8,64,3686400,12.4,53,39
16,16,2073600,6.6,41,119
6,16,3686400,3.0,91,20
8,8,2073600,15.6,32,20
16,16,2073600,2.9,33,122
4,16,8294400,12.3,28,20
10,16,2073600,2.3,49,54
24,16,3686400,22.8,53,157
6,16,2073600,12.9,66,29
10,8,3686400,6.6,41,20
16,16,3686400,5.6,10,71
6,16,2073600,7.8,51,20
10,16,2073600,9.7,65,45
12,64,3686400,7.5,46,77
12,16,3686400,10.5,42,25
8,32,2073600,1.7,56,45
6,32,2073600,5.3,74,34
8,16,8294400,12.2,44,20
8,16,2073600,5.6,17,41
8,64,3686400,29.2,34,62
8,16,2073600,7.1,42,31
12,32,2073600,4.0,9,91
12,32,3686400,18.8,60,33
8,16,3686400,5.4,30,20
10,64,3686400,7.3,55,68
8,32,3686400,9.2,49,24
8,16,3686400,16.5,39,20
8,32,3686400,2.9,78,20
12,16,8294400,17.6,34,20
8,32,2073600,7.8,32,49
8,16,3686400,4.7,51,20
12,64,3686400,4.3,62,61
8,16,2073600,33.0,45,54
16,16,2073600,24.5,25,125
6,16,3686400,7.3,59,20
12,32,3686400,4.4,57,38
8,32,2073600,30.2,87,48
8,16,3686400,1.1,41,20
10,16,2073600,1.4,49,59
10,16,2073600,6.3,34,55
8,64,3686400,8.1,15,32
4,8,3686400,1.1,47,20
4,32,2073600,2.7,62,29
12,32,2073600,1.7,25,64
10,16,3686400,3.3,32,20
12,16,3686400,2.6,22,20
24,16,3686400,2.1,72,140
12,32,2073600,2.1,32,67
4,64,3686400,4.7,57,20
8,64,3686400,2.1,28,36
10,16,8294400,12.9,47,20
6,16,2073600,5.1,32,20
24,16,8294400,2.0,5,35
16,16,2073600,9.4,47,115
12,32,2073600,13.4,56,92
8,8,2073600,4.6,5,22
12,32,3686400,1.0,42,55
6,64,8294400,9.4,36,20
8,64,2073600,12.2,23,90
8,64,3686400,18.6,40,20
12,64,2073600,11.0,6,106
8,64,3686400,8.3,50,21
6,8,2073600,4.4,69,21
8,64,2073600,3.2,20,58
8,16,2073600,1.5,44,59
8,16,3686400,14.7,74,20
6,16,3686400,7.6,47,20
8,64,3686400,3.7,35,40
8,32,3686400,2.1,27,20
12,16,2073600,3.7,49,80
12,16,8294400,12.3,42,20
10,64,3686400,2.9,58,65
8,32,8294400,1.4,15,20
12,8,2073600,4.8,67,83
16,16,3686400,4.3,37,75
12,16,2073600,10.6,58,56
12,16,2073600,7.5,31,84
16,16,8294400,6.1,19,20
4,16,2073600,30.9,34,20
16,16,2073600,15.9,26,116
8,64,3686400,2.1,38,27
8,32,8294400,3.3,58,20
12,8,3686400,5.3,67,20
12,16,8294400,1.6,49,20
6,16,8294400,12.4,34,20
12,32,2073600,12.7,36,86
4,16,2073600,3.8,57,22
8,16,2073600,19.9,68,38
12,16,2073600,7.4,39,62
8,16,3686400,3.0,42,20
10,32,8294400,8.8,30,20
12,32,2073600,9.9,49,88
12,16,3686400,11.1,64,37
12,32,3686400,29.4,5,48
4,16,3686400,20.6,50,20
8,16,2073600,5.3,34,30
8,16,2073600,5.5,5,42
4,16,3686400,1.2,51,20
10,64,3686400,5.3,43,47
10,32,2073600,2.6,52,68
12,32,2073600,2.0,18,88
16,8,2073600,14.5,88,122
6,16,8294400,1.2,47,20
6,16,3686400,2.1,38,20
12,8,8294400,9.7,75,20
6,16,3686400,7.7,58,20
6,8,2073600,5.5,62,20
10,16,3686400,14.2,68,20
6,32,2073600,3.2,5,38
12,32,3686400,2.9,78,59
16,32,2073600,6.8,38,122
4,8,2073600,1.9,51,20
10,16,8294400,10.3,63,20
12,8,2073600,22.9,31,66
24,8,8294400,14.3,51,32
8,8,3686400,18.0,60,20
6,64,2073600,1.6,44,65
16,32,2073600,5.4,55,134
16,16,2073600,19.7,13,123
6,16,3686400,15.7,21,20
8,64,3686400,8.2,22,47
12,16,2073600,9.5,52,69
12,16,2073600,3.5,120,76
6,16,8294400,3.5,50,20
12,16,2073600,1.6,42,79
12,16,8294400,19.6,44,20
10,32,3686400,3.7,65,46
6,16,2073600,40.1,59,30
4,32,3686400,1.1,22,20
8,8,2073600,13.8,65,33
12,32,3686400,7.0,45,52
4,64,3686400,1.3,61,20
4,8,2073600,9.7,5,20
8,16,2073600,10.7,14,55
4,32,2073600,10.6,57,20
6,16,2073600,10.5,9,20
4,64,2073600,10.1,53,32
10,16,3686400,12.7,52,38
12,16,2073600,4.8,48,85
8,64,3686400,26.3,52,31
6,8,2073600,6.3,50,20
8,32,2073600,3.5,54,56
10,8,3686400,40.5,37,20
16,16,3686400,3.6,45,53
24,16,2073600,5.6,104,200
6,16,2073600,10.6,68,20
4,8,3686400,13.8,57,20
12,16,8294400,4.0,53,20
16,16,2073600,1.3,30,122
8,64,2073600,7.9,50,96
12,64,3686400,8.2,40,75
16,16,2073600,11.5,64,120
10,64,3686400,3.4,27,44
16,32,8294400,14.8,5,20
4,16,2073600,12.9,34,20
8,8,2073600,16.8,59,20
8,32,2073600,12.3,94,44
6,16,3686400,9.9,66,20
16,8,8294400,7.5,25,20
4,64,3686400,16.6,41,20
12,64,2073600,3.0,26,121
4,16,2073600,9.7,41,20
8,32,3686400,13.6,27,20
8,32,8294400,12.9,12,20
6,64,2073600,2.1,54,67
10,16,2073600,4.0,49,41
10,16,3686400,22.6,42,29
8,16,2073600,12.9,52,41
12,16,8294400,2.3,86,20
6,16,2073600,6.3,47,32
6,16,2073600,14.3,37,22
8,8,3686400,16.7,62,20
8,16,2073600,6.9,12,20
6,32,2073600,1.9,60,20
16,16,2073600,3.0,30,101
12,32,3686400,1.2,29,43
6,32,2073600,2.4,47,42
8,32,2073600,1.5,78,28
6,32,2073600,10.6,30,27
8,8,3686400,10.7,64,20
8,16,2073600,5.7,53,20
10,64,3686400,18.0,17,72
16,64,8294400,2.3,63,20
8,8,2073600,2.7,28,50
12,32,2073600,8.6,16,102
10,8,3686400,7.0,29,20
12,8,3686400,2.0,30,20
4,8,2073600,20.0,57,20
12,16,3686400,8.8,30,30
16,16,3686400,8.5,75,59
10,64,3686400,4.7,49,62
8,16,2073600,8.5,31,39
12,8,3686400,1.6,28,20
12,16,3686400,3.9,50,30
12,8,2073600,9.0,5,70
6,8,2073600,8.3,5,20
24,16,3686400,7.0,27,158
24,16,3686400,1.4,58,144
8,16,3686400,4.1,49,20
10,16,3686400,34.3,45,23
4,8,2073600,23.9,41,20
24,32,2073600,14.7,5,215
12,16,3686400,1.5,38,32
10,16,2073600,1.6,9,55
12,16,2073600,2.9,62,61
6,16,8294400,15.1,45,20
8,16,2073600,2.8,43,20
6,8,2073600,3.0,53,20
10,32,3686400,3.4,51,20
4,16,2073600,11.6,50,20
16,64,2073600,7.0,52,160
8,16,3686400,16.8,33,20
8,16,3686400,1.6,18,20
6,32,2073600,1.4,52,20
