VIDEO_LENGTH_MIN,THUMBNAIL_CTR_PCT,UPLOAD_HOUR,EDITING_HOURS,SUBSCRIBER_COUNT_K,TAGS_COUNT,VIEWS_K
12.3,7.86,11,4.1,25.1,24,85.3
12.0,13.39,16,7.7,3.1,5,135.7
21.0,7.23,10,2.1,77.0,12,188.1
6.4,3.43,6,7.4,24.3,25,96.2
11.4,9.74,19,3.3,75.6,19,204.5
11.2,4.95,7,9.5,14.8,16,111.9
9.1,10.76,0,8.8,57.1,17,197.9
24.4,9.81,21,14.2,35.8,26,216.1
17.9,7.06,10,11.5,4.3,10,34.1
10.0,5.19,2,10.6,70.8,3,208.9
6.3,5.82,8,4.1,57.4,21,144.2
13.1,8.17,20,6.2,124.6,29,292.4
9.9,8.95,21,8.3,40.3,14,169.7
4.2,5.59,21,3.7,10.6,22,103.4
17.5,3.86,4,2.2,8.6,29,57.9
19.3,3.41,11,1.7,21.5,22,46.7
26.5,4.85,7,5.6,11.6,21,25.1
22.4,4.79,5,2.8,8.5,29,43.9
15.5,6.6,20,4.2,96.5,7,236.6
23.0,4.16,21,2.2,29.6,25,51.5
14.3,7.26,13,4.4,10.9,21,72.4
14.2,3.4,22,10.4,5.8,21,77.5
10.1,4.83,8,1.1,259.4,11,501.0
29.8,7.54,5,3.6,9.9,14,46.2
10.9,5.91,16,6.3,20.9,7,85.3
7.2,5.91,12,8.7,31.0,28,110.8
10.6,11.07,3,3.9,11.9,5,122.0
18.3,0.5,14,11.2,94.7,26,189.7
6.7,7.57,21,2.4,23.2,28,115.9
18.5,4.74,8,2.7,6.9,18,80.5
11.0,10.99,21,5.7,48.2,8,179.2
27.8,8.3,5,5.0,24.1,8,90.9
10.3,6.17,16,3.1,57.6,10,95.4
10.2,6.0,23,2.6,10.8,12,97.0
10.0,4.95,20,6.9,20.0,20,118.3
11.9,7.34,22,8.9,15.4,22,81.9
11.1,5.83,16,0.5,14.5,27,93.9
14.6,6.15,6,2.5,1.8,23,90.6
15.8,6.86,13,2.3,4.4,13,95.0
42.7,7.31,17,1.6,22.1,27,59.0
16.8,4.45,7,6.5,38.2,16,141.1
9.6,8.2,2,8.7,32.5,9,105.0
15.7,6.52,9,1.6,15.6,17,103.6
26.3,7.86,4,3.3,99.9,28,267.2
18.5,7.91,3,3.5,109.2,7,256.5
11.8,5.26,15,5.2,78.9,4,260.8
6.7,5.56,7,7.5,13.0,22,79.6
10.4,6.54,4,1.4,53.4,6,90.8
30.5,5.91,18,1.2,57.0,20,115.5
8.7,5.73,3,1.4,28.3,21,154.5
40.3,3.89,7,2.8,88.7,23,138.2
20.1,7.87,23,6.2,90.7,7,204.6
8.5,7.32,22,3.1,18.2,14,73.7
18.3,4.27,13,1.1,95.4,9,190.8
17.8,6.74,17,6.2,134.0,29,308.2
6.6,7.91,18,10.4,78.5,20,250.5
7.7,6.55,10,9.8,7.7,29,144.3
7.4,5.81,7,5.9,230.0,19,526.9
